"","inst","volume","ram_length","ram_thickness","ram_extent","sigma","eid","calve","ram_vol","ram_percent","short_extent"
"135","BST",6.49e+08,40,90,2145,497019,134211,NA,7722000,1.2,"no"
"136","BST",6.53e+08,60,90,2281,809856,20861,NA,12317400,1.9,"no"
"137","PYO",2.07e+08,20,70,631,830563,6729,TRUE,883400,0.4,"yes"
"138","PYO",2.08e+08,40,70,698,1320000,9657,TRUE,1954400,0.9,"yes"
"139","LWI",14700000,20,70,464,244964,9665,FALSE,649600,4.4,"yes"
"140","LWI",1.48e+08,40,70,480,448138,7601,TRUE,1344000,0.9,"yes"
"141","LWI",1.49e+08,60,70,553,804571,10553,TRUE,2322600,1.6,"yes"
"142","WCZ",8.4e+08,20,70,1536,603904,12249,TRUE,2150400,0.3,"yes"
"143","WCZ",8.44e+08,40,70,1526,808843,16217,TRUE,4272800,0.5,"yes"
"144","WCZ",8.48e+08,60,70,1813,1260000,29097,TRUE,7614600,0.9,"yes"
"145","ZVB",7.93e+08,20,70,529,252051,81889,FALSE,740600,0.1,"yes"
"146","ZVB",7.95e+08,40,70,599,435589,56105,TRUE,1677200,0.2,"yes"
"147","ZVB",7.97e+08,60,70,794,620180,27593,TRUE,3334800,0.4,"yes"
"148","PJJ",95200000,20,70,330,414829,4791,TRUE,462000,0.5,"yes"
"149","PJJ",9600000,40,70,385,812750,5329,TRUE,1078000,11.2,"yes"
"150","PJJ",97100000,60,70,430,1300000,8113,TRUE,1806000,1.9,"yes"
"151","QWZ",1.86e+08,20,70,496,390005,26801,FALSE,694400,0.4,"yes"
"152","QWZ",2.35e+08,40,70,555,799308,9337,TRUE,1554000,0.7,"yes"
"153","QWZ",1.88e+08,60,70,616,1220000,11929,TRUE,2587200,1.4,"yes"
"154","HFL",3.19e+08,20,70,1694,1170000,9833,TRUE,2371600,0.7,"yes"
"155","BSS",1.11e+08,20,70,645,300461,4393,FALSE,903000,0.8,"yes"
"156","BSS",1.12e+08,40,70,780,562983,6129,TRUE,2184000,2,"yes"
"157","BSS",1.14e+08,60,70,865,896867,8305,TRUE,3633000,3.2,"yes"
"158","BCS",1.43e+08,20,70,274,341803,4873,FALSE,383600,0.3,"yes"
"159","BCS",1.44e+08,40,70,316,719552,2489,TRUE,884800,0.6,"yes"
"160","BCS",1.46e+08,60,70,418,712799,9217,TRUE,1755600,1.2,"yes"
"161","RGN",1.04e+09,40,70,2307,1080000,23097,TRUE,6459600,0.6,"yes"
"162","RGN",1.05e+09,60,70,2355,1380000,25385,TRUE,9891000,0.9,"yes"
"163","FPS",1.18e+09,20,70,2911,463507,16217,FALSE,4075400,0.3,"yes"
"164","FPS",1.19e+09,40,70,2936,1030000,22481,TRUE,8220800,0.7,"yes"
"165","FPS",1.2e+09,60,70,3116,1380000,29317,TRUE,13087200,1.1,"yes"
"166","WXE",1.09e+09,40,70,994,1130000,29321,TRUE,2783200,0.3,"yes"
"167","IWV",1.01e+09,40,70,1360,1140000,14889,TRUE,3808000,0.4,"yes"
"168","IWV",1.01e+09,60,70,1499,1530000,26345,TRUE,6295800,0.6,"yes"
"169","RFC",1.6e+08,20,70,964,355469,20465,FALSE,1349600,0.8,"yes"
"170","RFC",1.63e+08,40,70,1051,550848,7081,TRUE,2942800,1.8,"yes"
"171","MUX",9.48e+08,40,70,925,709085,51537,TRUE,2590000,0.3,"yes"
"172","MUX",9.52e+08,60,70,999,1090000,257697,TRUE,4195800,0.4,"yes"
"173","XLL",9.22e+08,20,70,2684,417171,132329,FALSE,3757600,0.4,"yes"
"174","XLL",9.26e+08,40,70,2893,695037,122849,TRUE,8100400,0.9,"yes"
"175","XLL",9.31e+08,60,70,2881,1e+06,22025,TRUE,12100200,1.3,"yes"
"176","RPD",8.83e+08,20,70,454,277762,33745,FALSE,635600,0.1,"yes"
"177","RPD",8.85e+08,40,70,609,543106,23225,TRUE,1705200,0.2,"yes"
"178","RPD",8.87e+08,60,70,801,890962,25657,TRUE,3364200,0.4,"yes"
"179","VVV",8.64e+08,20,70,1398,277028,76129,FALSE,1957200,0.2,"yes"
"180","VVV",8.7e+08,60,70,1680,790026,26057,TRUE,7056000,0.8,"yes"
"181","BRW",5.67e+08,20,70,1804,412969,82665,NA,2525600,0.4,"yes"
"182","BRW",5.7e+08,40,70,1860,696000,90873,NA,5208000,0.9,"yes"
"183","BRW",5.72e+08,60,70,1973,1018930,17681,NA,8286600,1.4,"yes"
"184","IKY",3e+07,20,70,358,238117,8169,FALSE,501200,1.7,"yes"
"185","IKY",30700000,40,70,377,460303,2977,FALSE,1055600,3.4,"yes"
"186","IKY",31500000,60,70,555,626491,4769,TRUE,2331000,7.4,"yes"
"187","IFE",1.06e+09,20,70,987,644632,6817,FALSE,1381800,0.1,"yes"
"188","IFE",1.06e+09,40,70,1151,1270000,13713,TRUE,3222800,0.3,"yes"
"189","LJK",7.61e+08,20,70,2090,970012,353,TRUE,2926000,0.4,"yes"
"190","LJK",7.64e+08,40,70,2238,1480000,2465,TRUE,6266400,0.8,"yes"
"191","FRJ",3.96e+08,20,70,747,521915,6705,TRUE,1045800,0.3,"yes"
"192","FRJ",3.98e+08,40,70,788,1160000,15585,TRUE,2206400,0.6,"yes"
"193","CHG",3.76e+08,20,70,685,415363,7513,FALSE,959000,0.3,"yes"
"194","CHG",3.78e+08,40,70,784,784168,7801,TRUE,2195200,0.6,"yes"
"195","CHG",3.8e+08,60,70,864,1150000,16457,TRUE,3628800,1,"yes"
"196","ZTI",6.07e+08,20,70,1199,328794,11689,NA,1678600,0.3,"yes"
